count,encroached,area_m2,area_feddan,patch_id,mean_carbon_potential,rank,centroid_lat,centroid_lon,relative_carbon_loss_share_pct,size_class
9,1,768.875334602297,0.18302938576478864,KED-ENCR-0161,11.928772301438904,18,31.1193332690219,30.129769114710513,0.013955956962148075,Medium (500–2000 m²)
9,1,768.7928382256565,0.18300974765121572,KED-ENCR-0105,42.10327491142742,19,31.130512303538456,30.123171487784266,0.04925305238725558,Medium (500–2000 m²)
8,1,683.3533734193653,0.16267103725201099,KED-ENCR-0063,53.09908274147943,20,31.133361959302242,30.12074728419341,0.055212867797927424,Medium (500–2000 m²)
8,1,683.3354106117126,0.16266676123806786,KED-ENCR-0095,53.16913338075987,21,31.13569757903939,30.122330564831124,0.05528425378045206,Medium (500–2000 m²)
8,1,683.3106481993383,0.16266086659049242,KED-ENCR-0037,31.938678698338354,22,31.140009492713805,30.115750405622453,0.03320802731610706,Medium (500–2000 m²)
8,1,683.2838342980505,0.16265448358968357,KED-ENCR-0082,5.28200940503953,23,31.143018848399713,30.12194878112626,0.005491718400856349,Medium (500–2000 m²)
7,1,598.0130787911027,0.14235593413470735,KED-ENCR-0170,7.287041458116193,24,31.119393156748686,30.130797186425273,0.006630860118487978,Medium (500–2000 m²)
7,1,597.9402045494239,0.14233858655299642,KED-ENCR-0111,46.30515949417781,25,31.13203373598745,30.123649163471082,0.042130351622337435,Medium (500–2000 m²)
7,1,597.9197010360978,0.1423337057286531,KED-ENCR-0104,22.20664560243402,26,31.13531900351397,30.12321283892769,0.02020383293681932,Medium (500–2000 m²)
7,1,597.9182528545922,0.14233336099165933,KED-ENCR-0180,32.877108480556586,27,31.13430519040285,30.133825792343636,0.02991185657926749,Medium (500–2000 m²)
7,1,597.8984728164775,0.14232865238928438,KED-ENCR-0056,12.696991193464338,28,31.139412754662207,30.11936291628726,0.011551442114996766,Medium (500–2000 m²)
7,1,597.8964524674652,0.14232817144884827,KED-ENCR-0013,9.81797407234589,29,31.140477899859935,30.113049043141583,0.00893214575227774,Medium (500–2000 m²)
7,1,597.8947714013951,0.1423277712741042,KED-ENCR-0035,18.662828555717024,30,31.140375235257537,30.115577159036665,0.01697892405135603,Medium (500–2000 m²)
7,1,597.8797784391332,0.1423242022264965,KED-ENCR-0129,45.16364451429934,31,31.14146604647119,30.126177279382734,0.041087601409074505,Medium (500–2000 m²)
6,1,512.5857367243284,0.12202010953176597,KED-ENCR-0173,20.432250960052595,32,31.118824223763056,30.131051709204808,0.015936416632098806,Medium (500–2000 m²)
6,1,512.5762077748952,0.12201784118255089,KED-ENCR-0159,36.14016236490308,33,31.12077057341073,30.129449713603712,0.02818749529530229,Medium (500–2000 m²)
6,1,512.5438832735208,0.12201014639333675,KED-ENCR-0071,36.82722876857227,34,31.1278672642179,30.12148465145577,0.028721560897220184,Medium (500–2000 m²)
6,1,512.5225937156597,0.1220050784525105,KED-ENCR-0116,24.306617382809993,35,31.13156532885089,30.123745411517913,0.018955946909439005,Medium (500–2000 m²)
6,1,512.4818257224911,0.12199537370531326,KED-ENCR-0042,25.73527871038675,36,31.140219099524845,30.116274422798902,0.020068517345610788,Medium (500–2000 m²)
6,1,512.4811307085408,0.12199520825849673,KED-ENCR-0008,23.750818028557646,37,31.14072814482734,30.112785965173153,0.01852099845240535,Medium (500–2000 m²)
6,1,512.4727561452809,0.12199321470882679,KED-ENCR-0153,5.418084481769586,38,31.140323902860814,30.128686145490565,0.0042249784562243846,Medium (500–2000 m²)
5,1,427.159724730611,0.10168460155031529,KED-ENCR-0009,68.52482909166864,39,31.119932145868198,30.112830880767554,0.04453958874723056,Small (<500 m²)
5,1,427.15201720259176,0.10168276678718058,KED-ENCR-0163,2.767758608960515,40,31.119536887091638,30.129970736581445,0.00179894802363915,Small (<500 m²)
5,1,427.12211227745127,0.10167564797372217,KED-ENCR-0177,17.04735168286235,41,31.126076622415358,30.131893131214273,0.011079417294684512,Small (<500 m²)
5,1,427.1220512893565,0.10167563345561627,KED-ENCR-0083,35.709185486057684,42,31.12737019649453,30.121867932607497,0.02320811573088369,Small (<500 m²)
5,1,427.1170655364734,0.10167444660614054,KED-ENCR-0100,20.56439915074105,43,31.1283403769603,30.122784214177326,0.013365059379288838,Small (<500 m²)
5,1,427.1131293779941,0.10167350961071837,KED-ENCR-0102,8.461036535459964,44,31.129184793328466,30.122981843432946,0.005498882449816643,Small (<500 m²)
5,1,427.09778030168434,0.10166985579080429,KED-ENCR-0108,11.67642586651453,45,31.132598391397803,30.12323337171511,0.007588312093990408,Small (<500 m²)
5,1,427.08222003824045,0.10166615169817404,KED-ENCR-0140,8.522161651127004,46,31.13563469712642,30.12754528522779,0.0055382072402138625,Small (<500 m²)
5,1,427.07860362243304,0.10166529081691786,KED-ENCR-0119,4.123678375220518,47,31.136820473284182,30.12423948506667,0.0026797886480830245,Small (<500 m²)
5,1,427.07241913715063,0.10166381861135791,KED-ENCR-0073,17.505657463476062,48,31.13858117120287,30.121472673889148,0.011375955775128123,Small (<500 m²)
5,1,427.0708347187937,0.10166344144342754,KED-ENCR-0055,13.581094197030541,49,31.13919202559608,30.119101121539067,0.008825567054859512,Small (<500 m²)
5,1,427.0701830649489,0.10166328631840586,KED-ENCR-0058,14.888140356307455,50,31.139245924672487,30.120017403095023,0.009674925940213411,Small (<500 m²)
5,1,427.06865729148825,0.10166292311078721,KED-ENCR-0045,21.603342433450283,51,31.140036442018605,30.11676550181831,0.014038690285007033,Small (<500 m²)
4,1,341.726894394042,0.0813474704746543,KED-ENCR-0003,32.51593374862304,52,31.120246556121167,30.112314349502082,0.01690765328477883,Small (<500 m²)
4,1,341.72523713966496,0.08134707596824078,KED-ENCR-0168,31.71171202412874,53,31.118405009883926,30.130774728728515,0.016489393657834153,Small (<500 m²)
4,1,341.72509724086854,0.08134704266558479,KED-ENCR-0002,15.017845058583427,54,31.120763087542205,30.11204485493768,0.007808946344354888,Small (<500 m²)
